goos: windows
goarch: amd64
pkg: github.com/267H/orderedform
cpu: AMD Ryzen 9 9950X3D 16-Core Processor          
BenchmarkEndToEnd_100-32                	   77821	     15316 ns/op	    8116 B/op	     203 allocs/op
BenchmarkEndToEnd_100-32                	   78651	     15349 ns/op	    8116 B/op	     203 allocs/op
BenchmarkEndToEnd_100-32                	   78820	     15463 ns/op	    8116 B/op	     203 allocs/op
BenchmarkEndToEnd_100-32                	   78877	     15584 ns/op	    8116 B/op	     203 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6239892	       187.5 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6782592	       182.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6754638	       183.5 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6646524	       181.9 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6152996	       189.9 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Plain_6-32      	 6030056	       185.6 ns/op	      96 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 3945512	       296.0 ns/op	     176 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 4009173	       289.6 ns/op	     176 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 4088917	       292.3 ns/op	     176 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 4043815	       305.5 ns/op	     176 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 3978232	       306.6 ns/op	     176 B/op	       1 allocs/op
BenchmarkEndToEnd_Reuse_Special_6-32    	 4139763	       290.9 ns/op	     176 B/op	       1 allocs/op
PASS
ok  	github.com/267H/orderedform	94.218s
